Iteration,Postgres_Insert,Postgres_Select
1,2.792128562927246,48.78808546066284
2,2.865447521209717,94.78705382347107
3,2.8860785961151123,141.4996304512024
4,2.945235013961792,188.47769975662231
5,2.889526605606079,234.7645742893219
6,2.8636093139648438,281.5621237754822
7,2.882996082305908,391.8147885799408
8,2.886544704437256,376.02585101127625
9,2.8780362606048584,430.1543915271759
10,5.187032699584961,521.3979494571686
